A Noble Quest | Description | A Noble Quest is an atlas passive skill that affects Expedition encounters.
Haunting Shout | Description | The mod can only appear in a Medium Cluster Jewel with an enchantment Added Small Passive Skills grant: Exerted Attacks deal 20% increased Damage or in a Megalomaniac.
Haunting Shout | Unique items | The following unique items are related to Haunting Shout:
Heart and Soul | Description | Heart and Soul is a notable passive skill that grants increased maximum life and increased maximum mana.
Heart and Soul | Anointment | Blight anointment to unlock the passive:
Heart of Darkness | Description | Heart of Darkness is a notable passive skill that grants increased Chaos Damage , Chaos Resistance Penetration.
Heart of Darkness | Location | As of version 3.19.0, the passive skill cluster is located at the top of the tree, aka Witch area. The cluster shares the same connection small passive node with Brand Equity , Prism Weave and Unnatural Calm clusters.
Heart of Darkness | Location | Its modifier effects are residual from what Corruption used to be, since it now only increases the effects of Withered. Heart of Darkness has been silently added to the game, without any note in the patch notes.
Heart of Darkness | Location | Corruption and Heart of Darkness are on the same cluster. Allocate either one on the tree, can allow to allocate the Chaos Mastery , despite the passive tree of the cluster actually forked after the Chaos Damage small node.
Heart of Darkness | Anointment | Blight anointment to unlock the passive:
Heart of Flame | Description | Heart of Flame is a notable passive skill that grants increased fire damage and additional penetration against fire resistance.
Heart of Flame | Anointment | Blight anointment to unlock the passive:
Heart of Ice | Description | Heart of Ice is a notable passive skill that grants increased cold damage and additional penetration against cold resistance.
Heart of Ice | Anointment | Blight anointment to unlock the passive:
Heart of Iron | Description | Heart of Iron is a cluster jewel only notable passive skill. Either it is non-unique rarity Small Cluster Jewel and has the enchantment : Added Small Passive Skills grant: 15% increased Armour or 4% increased maximum Life , or a Megalomaniac which drops as a corrupted item and has 3 random cluster jewel notable passives.
Heart of Iron | Unique items | The following unique items are related to Heart of Iron:
Heart of Iron | Trivia | The icon of this passive is shared with many other cluster jewel-only notables, such as Dragon Hunter , Enduring Composure , Uncompromising and etc.
Heart of Oak | Description | Heart of Oak is a notable passive skill that grants increased maximum life and a chance to avoid being stunned. It also grants additional life regeneration if you've used a life flask.
Heart of Oak | Anointment | Blight anointment to unlock the passive:
Heart of the Grove (Atlas passive skill) | Description | Heart of the Grove is an atlas passive skill.
Heart of the Warrior | Description | Heart of the Warrior is a notable passive skill that grants additional strength and base maximum life. It also grants increased maximum life.
Heart of the Warrior | Anointment | Blight anointment to unlock the passive:
Heart of Thunder | Description | Heart of Thunder is a notable passive skill that grants increased lightning damage and additional penetration against lightning resistance.
Heart of Thunder | Anointment | Blight anointment to unlock the passive:
Heartseeker | Description | Heartseeker is a notable passive skill that grants additional critical strike multiplier.
Heartseeker | Anointment | Blight anointment to unlock the passive:
Hearty | Description | Hearty is a notable passive skill.
Hearty | Anointment | Blight anointment to unlock the passive:
Heated Devotion | Description | Heated Devotion is a notable passive skill added by the Militant Faith jewel. It requires the listed amount of Devotion to be allocated to function.
Heavy Breach | Description | Heavy Breach is an atlas passive skill.
Heavy Breach | Mechanics | Breaches in your maps open and close slower.
Heavy Draw | Description | Heavy Draw is a notable passive skill that grants increased physical damage and stun duration with bows. It also grants increased damage over time with bow skills
Heavy Draw | Anointment | Blight anointment to unlock the passive:
Heavy Hitter | Description | Heavy Hitter is a notable passive skill only found on Large Cluster Jewels that have certain enchantments (read below spawn weight column). The notable grants increased attack damage and increased damage with ailments from attack skills. It also grants reduced enemy stun threshold and a additional chance to double stun duration.
Heavy Hitter | Unique items | The following unique items are related to Heavy Hitter:
Height of Hubris | Description | Height of Hubris was an Atlas keystone passive skill.
Height of Hubris | Mechanics | This modifier doubles the effect of all modifiers in Invitations , including both Maven and Eldritch Invitations. The Item Rarity and Quantity in these invitations are also doubled as a result. Note that his can cause some builds to be completely bricked, due to reaching 100% chance to Avoid Ailments, >100% reduced Recovery Rate of Life and Energy Shield, >100% reduced effect of Auras, etc.
Hematophagy | Description | Hematophagy is a notable passive skill that increased maximum capping of life leech. It also improves your life leech per second.
Hematophagy | Anointment | Blight anointment to unlock the passive:
Heraldry | Description | Heraldry is a notable passive skill only found on a Medium Cluster Jewel that has the enchantment : Added Small Passive Skills grant: 10% increased Damage while affected by a Herald or Added [.] grant: Minions deal 10% increased Damage while you are affected by a Herald , or a Megalomaniac which has 3 random notables.
Heraldry | Unique items | The following unique items are related to Heraldry:
Herbalism | Description | Herbalism is a notable passive skill that grants increased maximum life. It also grants increased Flask recovery rate , making life and mana flasks recover the same amount over a shorter duration (therefore giving a higher recovery rate per second).
Herbalism | Anointment | Blight anointment to unlock the passive:
Hex Breaker | Description | Hex Breaker is a notable passive skill only found on a Medium Cluster Jewel , with the enchantment : Added Small Passive Skills grant: Channelling Skills deal 12% increased Damage , or Megalomaniac , a unique jewel that has random notables.
Hex Breaker | Description | The notable remove curse after the player character has been channelling for 2 seconds. However, this does not mean the character has curse immunity. Map curse will re-apply immediately after the removal.
Hex Breaker | Unique items | The following unique items are related to Hex Breaker:
Hex Master | Description | Hex Master is a keystone passive skill that modifies Curses. It causes Hexes to have an infinite duration at the cost of less effect of all your curses (including Marks ). This node causes Hexes reflected back to you, or inflicted to you by Ylfeban's Trickery , to also last for an infinite duration.
Hex Master | Location | The keystone is located on the upper north part of the tree, just north of Minion Instability.
Hex Master | Related unique items | The following unique items also grant the Hex Master keystone:
Hibernator | Description | Hibernator is a notable passive skill. This passive skill can only appear when placing cluster jewels into the player character's skill tree.
Hibernator | Description | The mod can only appear in a Small Cluster Jewel with an enchantment Added Small Passive Skills grant: +15% to Cold Resistance or in a Megalomaniac.
Hibernator | Unique items | The following unique items are related to Hibernator:
Hierarchy | Description | Hierarchy is a notable passive skill added by the Glorious Vanity jewel.
High Explosives | Description | High Explosives is a notable passive skill that grants increased critical strike chance with traps , additional critical strike multiplier with traps and a chance to gain a power charge when a trap is triggered by an enemy.
High Explosives | Anointment | Blight anointment to unlock the passive:
High Voltage | Description | High Voltage is a notable passive skill that grants 100% increased Critical Strike Chance against Shocked Enemies.
High Voltage | Anointment | Blight anointment to unlock the passive:
Higher Education | Description | Higher Education is an atlas passive skill.
Higher Education | Mechanics | Contracts found in your maps are more likely to require specific Heist skills.
Hired Killer | Description | Hired Killer is a notable passive skill that grants increased maximum life and additional life gain on kill.
Hired Killer | Anointment | Blight anointment to unlock the passive:
Hit and Run | Description | Hit and Run is a cluster jewel only notable passive skill.
Hit and Run | Unique items | The following unique items are related to Hit and Run:
Holistic Health | Description | Holistic Health is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Holistic Health | Description | It only spawns from a Small Cluster Jewel with the enchantment Added Small Passive Skills grant: 6% increased maximum Mana or Added Small Passive Skills grant: 4% increased maximum Life.
Holistic Health | Unique items | The following unique items are related to Holistic Health:
Hollow Effigy | Description | Hollow Effigy is a notable passive skill that causes your Offering skills not require corpses.
Hollow Effigy | Description | If an Offering is cast with no corpses available/none are consumed, it causes it to work like any other spell, but does not gain additional duration from corpse consumption. The Offering will last for whatever its base duration is. Casting an Offering this way does not count as having consumed a corpse.
Hollow Effigy | Description | This annointment does not prevent Offerings from consuming corpses, however. If there are corpses available, Offerings will still consume them if possible, adding to their duration per corpse consumed, as normal.
Hollow Effigy | Description | You can only acquire this passive through Anointment (using Oils ) on an Amulet or valid Blight Unique item.
Hollow Effigy | Anointment | Blight anointment to unlock the passive:
Hollow Palm Technique | Description | Hollow Palm Technique is a keystone passive skill which grants various bonuses while the player is Unencumbered (being Unarmed with no off-hand or gloves equipped).
Hollow Palm Technique | Mechanics | While unencumbered, unarmed attacks count as Dual Wielding , which also causes attacks to alternate between using the main hand and off hand (by default, unarmed attacks only count as main hand) [1] [2] , though the animation may not indicate this. [3]
Hollow Palm Technique | Related unique items | The following unique items are related to Hollow Palm Technique:
Holy Conquest | Description | Holy Conquest is a notable passive skill. This passive skill can only appear when placing cluster jewels into the player character's skill tree.
Holy Conquest | Description | The mod can only appear in a Medium Cluster Jewel with an enchantment Added Small Passive Skills grant: 12% increased Brand Damage or in a Megalomaniac.
Holy Conquest | Unique items | The following unique items are related to Holy Conquest:
Holy Dominion | Description | Holy Dominion is a notable passive skill that grants increased elemental resistances , increased elemental damage and additional chance to freeze , shock , and ignite.
Holy Dominion | Anointment | Blight anointment to unlock the passive:
Holy Fire | Description | Holy Fire is a notable passive skill that grants increased fire damage and additional fire resistance.
Holy Fire | Anointment | Blight anointment to unlock the passive:
Hound's Mark | Description | Hound's Mark is a notable passive skill only found on a cluster jewel
Hound's Mark | Unique items | The following unique items are related to Hound's Mark:
Wildwood Primalist that causes warcries to make enemy corpses drop additional items and open chests | Howl of the Wolf | Description | Howl of the Wolf is a notable Ascendancy passive skill for the Wildwood Primalist that causes warcries to make enemy corpses drop additional items and open chests.
Wildwood Primalist that causes warcries to make enemy corpses drop additional items and open chests | Howl of the Wolf | Description | The additional items found from corpses are from the core drop pool, rather than a monster's specific drops, and ignores player and monster IIR/IIQ - it only cares about area IIR/IIQ. [1]
Hulking Corpses | Description | Hulking Corpses is a notable passive skill. This passive skill can only appear when placing cluster jewels into the player character's skill tree.
Hulking Corpses | Description | The mod can only appear in a Medium Cluster Jewel with an enchantment Added Small Passive Skills grant: Minions have 12% increased maximum Life or in a Megalomaniac.
Hulking Corpses | Unique items | The following unique items are related to Hulking Corpses:
Hunt for Answers | Description | Hunt for Answers is an atlas passive skill. It increases the chance of an Expedition encounter spawning in maps.
Hunter's Gambit | Description | Hunter's Gambit is a notable passive skill that grants increased skill effect duration. It also grants additional chaos damage over time multiplier and increased damage over time with bows skills.
Hunter's Gambit | Anointment | Blight anointment to unlock the passive:
Hunting Season | Description | Hunting Season is a notable atlas passive skill.
Huntleader | Description | Huntleader is a notable Bloodline Ascendancy passive skill from the Farrul Bloodline that triggers the skill Summon Spectral Tiger on critical strike.
Huntleader | Mechanics | Summon Spectral Tiger : Summon Spectral Tigers function nearly identically to Summon Spectral Wolf. Like Spectral Wolves, Spectral Tigers are minions that attack using melee strikes for a base 30 second duration and the owner's modifiers to claw critical strike chance and multiplier apply to the minions. Spectral Tigers also inherently have the modifier 100% of Physical Attack Damage Leeched as Life. Up to 5 can be alive at a time and summoning a Spectral Tiger while at maximum will refresh the duration of the oldest one. Each Spectral Tiger grants 25% increased Global Critical Strike Chance , 7% increased Attack Speed , and 7% increased Cast Speed to the owner, for up to 125% increased global crit chance and 35% increased attack and cast speed.
Huntleader | Mechanics | Spectral Tiger maximum life can be seen on the Character panel.
Imagined Pursuits | Description | Imagined Pursuits is an atlas passive skill.
Imagined Pursuits | Mechanics | Delirium encounters in your maps gain +1 to reward type count when the map is completed ( map boss is killed).
Imbalanced Guard | Description | Imbalanced Guard is a keystone passive skill that doubles armour when defending against hits , but caps damage reduction to 50%.
Imbalanced Guard | Mechanics | 100% chance to Defend with 200% of Armour : Similar modifiers, such as the 20% chance to Defend with 200% of Armour Armour Mastery , do not stack with Imbalanced Guard.
Imbalanced Guard | Mechanics | Maximum Damage Reduction for any Damage Type is 50% : This modifier lowers the cap on 'damage reduction' to 50%, from 90%.
Imbalanced Guard | Mechanics | This affects damage reduction granted by armour against physical damage hits, additional sources such as #% additional Physical Damage Reduction on strength body armours and shields, and damage reduction for non-physical damage gained from effects like Endurance charges , Transcendence , Doryani's Prototype , Unbreakable , The Fourth Vow , or Eternal Damnation.
Imbalanced Guard | Mechanics | The cap does not affect non-'damage reduction' mitigations such as immunity , avoidance , resistance , damage taken modifiers (e.g. Fortification ), spell suppression , or block. [1]
Imbalanced Guard | Strategy | Imbalanced Guard can cause armour to grant higher damage reduction against bigger hits, but limits armour's effectiveness against smaller hits. This may be useful for builds that stack several types of mitigation, rather than primarily stacking armour or additional damage reduction.
Imbalanced Guard | Location | Imbalanced Guard is located at the middle layer of the southwest part of the tree, to the left of the transition path between Duelist and Marauder , next to the Soul of Steel cluster.
Imbalanced Guard | Related unique items | The following unique items are related to Imbalanced Guard:
Immortal Ambition | Description | Immortal Ambition is a keystone passive skill which allows life leech to recover energy shield while on full life , while disabling energy shield recharge and energy shield regeneration , and causing 5% energy shield loss per second.
Immortal Ambition | Description | This keystone is only accessible through certain unique items.
Immortal Ambition | Mechanics | Life Leech effects Recover Energy Shield instead while on Full Life :
Immortal Ambition | Location | This keystone will conquer (i.e. convert) any existing keystones on the skill tree, that within the jewel radius of a Glorious Vanity. The jewel needs to have the modifier Bathed in the blood of (100–8000) sacrificed in the name of Ahuana.
Immortal Ambition | Related unique items | These unique items (other than Glorious Vanity ) have the Immortal Ambition modifier, which provides the same effect as this keystone. Taking the keystone in addition to equipping one of these items will impart no additional benefit.
Immune Response | Description | Immune Response is an atlas passive skill.
Immune Response | Mechanics | Blight encounters in your maps spawn more non- unique monsters and Blight monsters spawn faster.
Immutable Dogma | Description | Immutable Dogma is an Atlas passive skill and Atlas keystone , specifically for the Ritual league encounter.
Immutable Dogma | Mechanics | Immutable Dogma causes you to be unable to reroll Favours at Ritual Altars in your maps, however, Ritual monsters killed with this keystone allocated will grant 100% more Tribute.
Immutable Dogma | Mechanics | This keystone should primarily be used for redeeming deferred rewards in combination with Blood-filled Vessels as it has anti-synergy with rerolling strategies.
Immutable Dogma | Location | As of version 3.22.0, it is located near the top of the Atlas passive skill tree inside the Ritual cluster containing Occult Devotion.
Imperial Wraiths | Description | Imperial Wraiths is an Atlas passive skill exclusive to the Necropolis league.
Imperial Wraiths | Mechanics | Haunted modifiers in The Lantern of Arimor are a tier higher in maps , which increases the chance of finding corpses and Embers of the Allflame.
Improvisor | Description | Improvisor is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Improvisor | Description | It is spawnable on Small Cluster Jewel with the enchantment Added Small Passive Skills grant: #% increased maximum Mana.
Improvisor | Unique items | The following unique items are related to Improvisor:
Incorporeal | Description | Incorporeal is a notable passive skill that causes Elusive to lose its effect at a slower rate and get removed when it reaches 20% effect.
Incorporeal | Description | This passive causes Elusive to lose its effect at a rate of 13.33% per second.
Incorporeal | Description | You can only acquire this passive through Anointment (using Oils ) on an Amulet or valid Blight Unique item.
Incorporeal | Anointment | Blight anointment to unlock the passive:
Indiscriminate Revenge | Description | ' Indiscriminate Revenge is a notable passive skill that grants retaliation skills increased area of effect.
Indiscriminate Revenge | Anointment | Blight anointment to unlock the passive:
Indomitable Army | Description | Indomitable Army is a notable passive skill that grants increased elemental resistances and physical damage reduction for minions. It also prevents minions from taking extra damage from moving while affected by bleed.
Indomitable Army | Anointment | Blight anointment to unlock the passive:
Inevitable Ambush | Description | Inevitable Ambush is an Atlas keystone passive skill.
Inevitable Ambush | Location | As of version 3.18.0 it is located at the top of the atlas passive skill tree, in the same cluster with small node that increase the chance of influenced item to drop from Shaper, Elder and their Guardians, as well as the notables Remnants of the Past , Gaze into the Abyss and keystone Cosmic Wounds.
Inexorable | Description | Inexorable is a notable passive skill that grants increased armour while stationary and a chance to gain an endurance charge when being hit.
Inexorable | Anointment | Blight anointment to unlock the passive:
Influence (passive skill) | Description | Influence is a notable passive skill that grants increased effect magnitude for auras cast by the character.
Influence (passive skill) | Location | Influence is located in the top right area of the tree, in a Reservation Mastery cluster, near the Chaos Inoculation node.
Influence (passive skill) | Anointment | Blight anointment to unlock the passive:
Infused | Description | Infused is a notable passive skill that grants an additional maximum power charge.
Infused | Anointment | Blight anointment to unlock the passive:
Infused Flesh | Description | Infused Flesh is a notable passive skill.
Infused Flesh | Anointment | Blight anointment to unlock the passive:
Inner Conviction | Description | Inner Conviction is a keystone passive skill which grants more Spell Damage per Power Charge and causes one to gain Power charges instead of Frenzy charges.
Inner Conviction | Description | It is not on the main skill tree. It can only be acquired via items.
Inner Conviction | Mechanics | This keystone only disables generation of Frenzy charges. Items or passives with +# to minimum Frenzy Charges work as normal and will allow you to have Frenzy charges with Inner Conviction.
Inner Conviction | Mechanics | When combined with Olesya's Delight 's Gain Affliction Charges instead of Frenzy Charges , this keystone has priority; only power charges will be gained.
Inner Conviction | Location | This keystone will conquer (i.e. convert) any keystones within the jewel radius of a Militant Faith unique jewel. That jewel must has the modifier Carved to glorify (2000-10000) new faithful converted by High Templar Dominus.
Inner Conviction | Related unique items | These unique items (other than Militant Faith ) have the Inner Conviction modifier, which provides the same effect as this keystone. Taking the keystone in addition to equipping one of these items will impart no additional benefit.
Insatiable Killer | Description | Insatiable Killer is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Insatiable Killer | Description | It only spawns from a Large Cluster Jewel with the enchantment Added Small Passive Skills grant: 12% increased Attack Damage while Dual Wielding.
Insatiable Killer | Unique items | The following unique items are related to Insatiable Killer:
Insightfulness | Description | Insightfulness is a notable passive skill that grants increased maximum energy shield , increased maximum mana , reduced mana cost of skills while on full energy shield.
Insightfulness | Anointment | Blight anointment to unlock the passive:
Inspired Darkness | Description | Inspired Darkness is an atlas passive skill. It is the main way to acquire item level 86 Stygian Vise or Abyss jewel. (being T16 map = area level 83, unique monster ( Stygian Spire ) +2 to drop level and this passive). The other ways include the boss fight in Abyssal Depths generated from a T16 map.
Inspired Oppression | Description | Inspired Oppression is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Inspired Oppression | Description | It only spawns from a Large Cluster Jewel or Medium Cluster Jewel with one of the following enchantments :
Inspired Oppression | Unique items | The following unique items are related to Inspired Oppression:
Inspiring Bond | Description | Inspiring Bond is a notable passive skill.
Inspiring Bond | Location | West of the Scion's starting location. The cluster also contains a Link Mastery.
Inspiring Bond | Anointment | Blight anointment to unlock the passive:
Instability (passive skill) | Description | Instability is a notable passive skill that grants an additional maximum power charge.
Instability (passive skill) | Anointment | Blight anointment to unlock the passive:
Instinct | Description | Instinct is a notable passive skill.
Instinct | Anointment | Blight anointment to unlock the passive:
Insulated | Description | Insulated is a notable passive skill. This passive skill can only appear when placing cluster jewels into the player character's skill tree.
Insulated | Description | The mod can only appear in a Small Cluster Jewel with an enchantment Added Small Passive Skills grant: +15% to Lightning Resistance or in a Megalomaniac.
Insulated | Unique items | The following unique items are related to Insulated:
Warden of the Maji that grants increased effect of your tinctures if you have empty flask slots | Intensifying Suffusion | Description | Intensifying Suffusion is a notable Ascendancy passive skill for the Warden of the Maji that grants increased effect of your tinctures if you have empty flask slots.
Warden of the Maji that grants increased effect of your tinctures if you have empty flask slots | Intensifying Suffusion | Description | This passive synergizes with other similar stats like The Traitor and Micro-Distillery Belt.
Intensity (passive skill) | Description | Intensity is a notable passive skill.
Intensity (passive skill) | Description | It can be found on a legacy Medium Cluster Jewel that has the enchantment Added Small Passive Skills grant: 10% increased Area Damage , or a legacy Megalomaniac which has 3 random notables.
Intensity (passive skill) | Description | Do not reroll the legacy items that have the mods with currencies.
Intensity (passive skill) | Mods | The following legacy cluster jewel mod is related to Intensity
Intensity (passive skill) | Unique items | The following unique items are related to Intensity:
Intolerance of Sin | Description | Intolerance of Sin is a notable passive skill added by the Militant Faith jewel. It requires the listed amount of Devotion to be allocated to function.
Introspection | Description | Introspection is a cluster jewel only notable passive skill.
Introspection | Description | It can appear in a Megalomaniac , or a non-unique Small Cluster Jewel that has the enchantment : Added Small Passive Skills grant: 6% increased Mana Reservation Efficiency of Skills.
Introspection | Mods | It can also appears on legacy Medium Cluster Jewel that has the enchantment : Added Small Passive Skills grant: 3% increased effect of Non-Curse Auras from your Skills or a legacy Small Cluster Jewel that has the enchantment : Added Small Passive Skills grant: +15% to Lightning Resistance.
Introspection | Unique items | The following unique items are related to Introspection:
Intuition | Description | Intuition is a notable passive skill.
Intuition | Anointment | Blight anointment to unlock the passive:
Invasive Adversaries | Description | Invasive Adversaries is an atlas passive skill.
Invasive Adversaries | Mechanics | Your maps contain more monster packs which consist of monsters based on various map bosses or special enemies which can only otherwise be encountered in tier 17 maps.
Inveterate | Description | Inveterate is a notable passive skill.
Inveterate | Anointment | Blight anointment to unlock the passive:
Invigorating Blaze | Description | Invigorating Blaze is a notable passive skill.
Invigorating Blaze | Anointment | Blight anointment to unlock the passive:
Invigorating Portents | Description | Invigorating Portents is a cluster jewel only notable passive skill.
Invigorating Portents | Description | The notable only appears/craftable on a Medium Cluster Jewel. Either it is non-unique rarity and has the enchantment : Added Small Passive Skills grant: Minions deal 10% increased Damage while you are affected by a Herald , or a Megalomaniac which drops as a corrupted item and has 3 random cluster jewel notable passives.
Invigorating Portents | Unique items | The following unique items are related to Invigorating Portents:
Invigorating Portents | Trivia | The icon of this passive is shared with two other cluster jewel-only notables: Disciples and Pure Agony
Iron Breaker | Description | Iron Breaker is a notable passive skill only found on Large Cluster Jewels with a Physical Damage enchant. The notable grants increased physical damage , and a chance to ignore enemy physical damage reduction.
Iron Breaker | Unique items | The following unique items are related to Iron Breaker:
Iron Grip | Description | Iron Grip is a keystone passive skill that causes the physical damage bonus to melee attacks from strength to apply to projectile attacks as well.
Iron Grip | Description | Taking Iron Grip causes strength to grant 1% increased physical projectile attack damage per 5 points of strength, alongside the melee physical damage bonus it already gives.
Iron Grip | Description | Effects that modify strength's effect on melee physical damage will also affect the bonus to physical projectile attack damage granted by Iron Grip. For example, The Iron Fortress grants Strength's Damage Bonus instead grants 3% increased Melee Physical Damage per 10 Strength will also grant 3% increased physical projectile attack damage per 10 strength.
Iron Grip | Location | Iron Grip is a standalone keystone near the center of the skill tree, on the southwest side of the Scion's starting area.
Iron Reflexes | Description | Iron Reflexes is a keystone passive skill that converts all evasion rating into armour. It also removes the bonus to evasion rating that dexterity inherently grants.
Iron Reflexes | Mechanics | Iron Reflexes converts evasion into armour. Similar to other forms of conversion, armour converted this way 'remembers' originating from evasion, and will include evasion modifiers in its calculation, such as Grace 's #% more Evasion rating.
Iron Reflexes | Mechanics | Armour gained from evasion equipment counts as Armour from that equipment for the purpose of effects like Prospero's Protection or Unbreakable. [1]
Iron Reflexes | Conversion Formulae | The final Armour value is calculated with the following formula: [2] [3]
Iron Reflexes | Conversion Formulae | where:
Iron Reflexes | Conversion Formulae | Modifiers which grant #% increased Evasion Rating and Armour (e.g. Bravery ) or #% increased Global Defences (e.g. Skin of the Loyal ) only apply to base values one time. For example, taking Bravery would increase flat ER by 24%, which would then be converted directly into the final Armour. It does not then apply 24% increased Armour, as the flat ER was already affected by that modifier.
Iron Reflexes | Conversion Formulae | When factoring modifiers which apply to specific equipment slots such as While a Pinnacle Atlas Boss is in your Presence, (67-70)% increased Armour from Equipped Helmet and Gloves ArmourFromHelmetGlovesEldritchImplicitPinnaclePresence6 Eater of Worlds While a Pinnacle Atlas Boss is in your Presence, (67-70)% increased Armour from Equipped Helmet and Gloves , each source of flat AR/EV should be calculated separately, then summed at the end. These modifiers are additive with other increases and reductions.
Iron Reflexes | Example | 1000 Armour from Equipped Items 1000 Evasion Rating from Equipped Items +1500 Armour from Granite Flask +1500 Evasion Rating from Jade Flask +2051 Armour from Determination +2575 Evasion Rating from Grace 80% increased Armour from passive skills 40% increased Evasion Rating from passive skills 36% increased Evasion Rating and Armour from passive skills 49% more Armour from Determination 29% more Evasion Rating from Grace
Iron Reflexes | Summary | With Iron Reflexes:
Iron Reflexes | Summary | Therefore, the mods that provide the most significant benefits in conjunction with Iron Reflexes are those that increase Armour or both Evasion Rating and Armour.
Iron Reflexes | Location | Iron Reflexes is located in the Southern part of the tree near the Duelist Section. It is a stand-alone keystone.
Iron Will | Description | Iron Will is a keystone passive skill that causes the increased melee physical attack damage bonus from strength to apply to spells as well.
Iron Will | Mechanics | Iron Will causes strength to grant 1% increased spell damage per 5 points of strength, alongside the melee physical damage bonus it already grants. Note that this bonus applies to all spell damage, not just physical.
Iron Will | Mechanics | Iron Will is a keyword and will not stack with other sources of Iron Will , such as Iron Will Support and Repentance.
Iron Will | Mechanics | Effects that modify strength's effect on melee physical damage will also affect the bonus to spell damage granted by Iron Will. For example, The Iron Fortress grants Strength's Damage Bonus instead grants 3% increased Melee Physical Damage per 10 Strength ; this will also apply to the increase in spell damage granted by Iron Will. Another notable interaction is with Crown of Eyes which grants Increases and Reductions to Spell Damage also apply to Attacks at 150% of their value , this in conjunction with Iron Will means that every 10 points of strength gives 3% increased attack damage, and if used alongside The Iron Fortress this becomes 4.5% increased attack damage per 10 strength. This increased attack damage does not stack with the original 2% increased Melee Physical Damage per 10 strength, only the higher modifier is applied.
Iron Will | Location | Iron Will is located in the center of the passive skill tree, west of the Scion starting area.
Ironwood | Description | Ironwood is a notable passive skill that grants additional physical damage reduction and life for totems.
Ironwood | Anointment | Blight anointment to unlock the passive:
It wasn't me! | Description | It wasn't me! is a notable Bloodline Ascendancy passive skill from the Delirious Bloodline that grants the Misty Reflection skill. When used, the user dashes backwards and leaves behind a short-lived illusion. Enemies can destroy the illusion, causing it to apply a debuff over a large area that applies less damage dealt and increased damage taken.
It wasn't me! | Mechanics | The debuff applied by Misty Reflection applies 30% increased Damage taken and Deal 30% less Damage and lasts 4 seconds.
It wasn't me! | Mechanics | Taking this passive skill also causes random Insanity effects to occur, which are harmless but ominous chat messages or animations.
Jagged Wounds | Description | Jagged Wounds is a notable passive skill that grants increased total maximum life leech recovery rate if you dealt a critical strike recently.
Jagged Wounds | Description | You can only acquire this passive through Anointment (using Oils ) on an Amulet or valid Blight Unique item.
Jagged Wounds | Anointment | Blight anointment to unlock the passive:
Juggernaut (passive skill) | Description | Juggernaut is a notable passive skill that grants increased armour rating and increased maximum life.
Juggernaut (passive skill) | Anointment | Blight anointment to unlock the passive:
Jungle Paths | Description | Jungle Paths is a notable passive skill added by the Glorious Vanity jewel.
Just in Time! | Description | Just in Time! is an atlas passive skill. It increases the chance of Alva spawning in maps and increases the relative drop rate of Incursion Scarabs.
Kinetic Impacts | Description | Kinetic Impacts is a notable passive skill that grants increased damage with two handed melee weapons , as well as a chance to deal double damage and double stun duration.
Kinetic Impacts | Anointment | Blight anointment to unlock the passive:
Kineticism | Description | Kineticism is a cluster jewel-only keystone passive skill that causes attack projectiles to always inflict Bleeding and Maim , as well as Knocking Back enemies, at the cost of being unable to pierce , fork , or chain.
Kineticism | Mechanics | While this skill makes attack projectiles always apply a knockback effect, it will not override the Immune to Knockback modifier found on some enemies such as The Shaper or Sirus, Awakener of Worlds.
Kineticism | Related unique items | The following unique items are related to Kineticism:
King of the Hill | Description | King of the Hill is a notable passive skill that grants increased critical strike chance with bows.
King of the Hill | Anointment | Blight anointment to unlock the passive:
Knowledge Barrier | Description | Knowledge Barrier is a notable passive skill that grants increased energy shield recharge rate for each different Passive Mastery you have allocated.
Knowledge Barrier | Description | You can only acquire this passive through Anointment (using Oils ) on an Amulet or valid Blight Unique item.
Knowledge Barrier | Anointment | Blight anointment to unlock the passive:
Last Rites | Description | Last Rites is a notable passive skill. It applies a reducing effect to the Life Regeneration rate to cursed enemies.
Last Rites | Anointment | Blight anointment to unlock the passive:
Lasting Impression | Description | Lasting Impression is a cluster jewel only notable passive skill.
Lasting Impression | Description | The notable only appears/craftable on a Medium Cluster Jewel. Either it is non-unique rarity and has the enchantments : Added Small Passive Skills grant: 10% increased Damage while affected by a Herald or Minions deal 10% increased Damage while you are affected by a Herald , or a Megalomaniac which drops as a corrupted item and has 3 random cluster jewel notable passives.
Lasting Impression | Unique items | The following unique items are related to Lasting Impression:
Lasting Tempest | Description | Lasting Tempest is a notable passive skill that grants increased elemental ailment duration on enemies.
Lasting Tempest | Description | You can only acquire this passive through Anointment (using Oils ) on an Amulet or valid Blight Unique item.
Lasting Tempest | Anointment | Blight anointment to unlock the passive:
Laureate | Description | Laureate is a notable passive skill added by the Elegant Hubris jewel.
Lava Lash | Description | Lava Lash is a notable passive skill that grants increased fire damage with weapons as well as fire damage penetration.
Lava Lash | Anointment | Blight anointment to unlock the passive:
Lead By Example | Description | Lead By Example is a notable passive skill from cluster jewel only. Stacking this notable will not extend the duration of the granted Onslaught beyond 4 seconds. [1]
Lead By Example | Unique items | The following unique items are related to Lead By Example:
Leader of the Pack | Description | Leader of the Pack is a notable passive skill that grants increased area of effect for aura skills and increased reservation efficiency.
