Abyss | Description | Abysses are interactable objects in instances which spawns cracks and pits that spawn monsters. They can spawn from Act 6 onwards. This encounter is considered Extra Content and has a baseline greater than 8% chance to appear in any map area.
List of vendor recipes in Ruthless mode | Quality Items | When done for multiple instances of the recipe at once, each individual combination must add up to 40%. For example: 6 items of 19%, 13%, 15%, 9%, 17% and 7% quality would add up to 80%, but would not actually grant 2 of the resulting quality items, only 1. This is because the 2 individual combinations do not add up to 40 each.
List of vendor recipes in Ruthless mode | Multiple Rare Items | These recipes require multiple items, mostly rares.
List of vendor recipes in Ruthless mode | Downgrade | These recipes partially reverse the main progression at a sharp penalty.
List of vendor recipes in Ruthless mode | Downgrade | Mirror of Kalandra 's downgrade recipe is disabled. [1]
List of vendor recipes in Ruthless mode | Gems | Regular Bitterdream 's vendor recipe is disabled. [3]
List of vendor recipes in Ruthless mode | Bandit quest reward change | Notes:
List of vendor recipes in Ruthless mode | Bandit quest reward change | [ confirmation needed ]
Loss | Description | Loss is a catch-all term for negative changes to resources, primarily life , mana , and energy shield. It can be considered the opposite of recovery.
Loss | Mechanics | Loss is fundamentally not limited to specific mechanics. It is not necessarily caused by damage , and damage does not necessarily cause loss (e.g. Ward , Dissolution of the Flesh ).
Loss | Mechanics | Loss from non-damage sources does not hit , cannot be modified by defensive stats, and does not interrupt recharge. [1]
Loss | Mechanics | While certain loss mechanics will always leave players with a minimum of 1 life (e.g. sacrificing, tinctures with Bloodsoaked Blade), loss does not need to originate from damage to kill the player.
Loss | Mechanics | Loss determines whether a hit is savage. [2]
Loss | Mechanics | Over-time loss is tracked partially. It's possible to lose 1 life over a duration. [3]
Loss | Interactions with recovery | Recovery and loss are normally distinct modifications. [4] When the same event causes both loss and recovery, they are not totalled and applied together; they modify your resources individually, in an order appropriate for the effects involved. (Except Gluttony of Elements.) [5] Modifiers that prevent or disable recovery do not affect loss.
Loss | Interactions with recovery | When over-time loss and over-time recovery occur together, loss is always handled second. [6]
Low life | Description | Low life is a condition that applies when life is at 50% or lower. Linking mana-reserving skills (such as auras ) to Arrogance Support which converts them into Life-reserving skills is one of the easiest way to maintain the low life condition.
Low life | Description | Players that use low life will typically either use energy shields to protect their health or Petrified Blood if they're not using energy shields. "LL" is commonly used to describe this type of build, which stands for "Low Life".
Low life | Description | The only way to achieve Low Life while Chaos Inoculation is allocated is with Coward's Legacy , as a maximum life of 1 counts as being on full life.
Low life | Description | The low life state unlocks several interesting aspects for a character, but can be difficult to maintain efficiently.
Low life | Strategy | The advantages to maintaining low life:
Low life | Strategy | The disadvantages while maintaining low life:
Low life | Essence modifiers | Essence of Hysteria adds the following suffix modifier to a helmet: Socketed gems deal 30% more damage while on low life
Low life | Unique items | The list below displays unique items related to Low Life :
Low life | Cluster jewel passives | No results found for the given query.
Low life | Miscellaneous low life benefits | Flask prefixes Prudent Prudent Prefix (101-106)% more Recovery if used while on Low Life and Startled Startled Prefix Instant Recovery when on Low Life (30-27)% reduced Amount Recovered.
Low life | Pantheon | Upgraded Soul of Ryslatha Pantheon power.
Low life | Trivia | Since version 0.9.6 , the player light changes to noticeably reddish over the 33% - 37% range [ confirmation needed because of 3.14 change ] to make it easier to judge when the condition applies.
Low Mana | Description | Low Mana is a condition that applies when the player's mana pool falls below 50%. However, it does not apply if the maximum mana is set to 0 due to Blood Magic. [1]
Luck | Description | Luck is a mechanic that rolls an outcome or a number in a range more than once, with Lucky rolls applying the best result of two rolls, Unlucky rolls applying the worst result of two rolls, and Unexciting rolls applying the "middle result" of three rolls.
Luck | Description | Modifiers that specify Damage or when Damaging and luck refer specifically to damage ranges after any increased/more modifiers (or "tooltip damage range"), not to the base damage of the weapon/skill. These stats do not affect other mechanics like chance to hit/ accuracy or critical strike chance. [1] Additionally, these stats only apply to hit damage, and have no effect on the damage roll of damage over time from damaging ailments , which roll entirely independently of the hit damage's roll. [2]
Luck | Description | Lucky and Unlucky modifiers affecting the same stat or mechanic will cancel each other out. [3] Sources of Unexciting modifiers usually cancel out both Lucky and Unlucky modifiers.
Luck | Effectiveness | With percentage rolls, such as critical strike chance , lucky/unlucky rolls will be up to a 100% more/less modifier, changing linearly towards 0% as critical chance increases. As for damage rolls , the average damage from the roll will be at up to 33% more or less, when the minimum damage is close to zero, but will have a much weaker effect when the minimum damage is closer to the maximum.
Luck | Binary Rolls | More specifically, the lucky critical strike chance can be calculated from the following formula:
Luck | Binary Rolls | C r i t C h a n c e L u c k y = 2 × C r i t C h a n c e D e f a u l t − C r i t C h a n c e D e f a u l t 2 \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}CritChance_{Lucky}=2\times CritChance_{Default}-{CritChance_{Default}}^{2}
Luck | Binary Rolls | For example, the lucky critical strike chance for an default critical strike chance of 40% could be calculated as follows:
Luck | Binary Rolls | C r i t C h a n c e L u c k y = 2 × 40 % − 40 % 2 = 64 % \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}CritChance_{Lucky}=2\times 40\%-40\%^{2}=64\%
Luck | Binary Rolls | It should be noted that these calculations neglect the effect of accuracy on critical strikes.
Luck | Damage in a Range | Given an integer roll between min and max , the normal expected value is m i n + m a x 2 \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}{\frac {min+max}{2}}.
Luck | Damage in a Range | A lucky roll has expected value m i n 3 + 2 ∗ m a x 3 + m a x − m i n 6 ∗ ( 1 + m a x − m i n ) \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}{\frac {min}{3}}+{\frac {2*max}{3}}+{\frac {max-min}{6*(1+max-min)}}.
Luck | Damage in a Range | Note that the last term in this is always between 0 and 1/6 and therefore is negligible (it is a byproduct of the fact our uniform variable only takes values over the integers.) This simplifies the formula to m i n + 2 ∗ m a x 3 \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}{\frac {min+2*max}{3}}.
Luck | Damage in a Range | The average damage is effectively nudged closer toward the max damage, and further from the minimum damage. The damage boost, on average, is a sixth of the difference between minimum and maximum damage.
Luck | Damage in a Range | Example 1: You shoot a level 20 Fireball. The maximum damage is 1643, and minimum damage is 1095, for an average of 1369. The difference between minimum and maximum is 548. If the damage is lucky, you get an average 548/6=91.3 extra damage, for a new average damage of 1369+91.3=1460.3 damage. This is a 6.6% damage boost.
Luck | Damage in a Range | Example 2: You cast a level 20 Spark. The maximum damage is 1198, and minimum damage is 63, for an average of 630.5. The difference between minimum and maximum is 1135. If the damage is lucky, you get an average 1135/6=189.2 extra damage, for a new average damage of 189.2+630.5=819.6 damage. This is a 30% damage boost.
Luck | Damage in a Range | How much does lucky improve our expected value - if our minimum damage is 0 then we get a 33% more multiplier. As the minimum damage increases our percentage increase decreases.
Luck | Unique items | The following unique items are related to Luck:
Luck | Corpse items | Spectres raised from these corpse items have an ability or bonus related to Luck:
Luck | Related skill gems | The following skill gems are related to Luck:
Luck | Cluster Jewel passive skills | The following Cluster Jewel passive skills are related to Luck ( legacy modifier ):
Luck | Ascendancy passive skills | The following Ascendancy passive skills are related to Luck:
Luck | Keystone passive skills | The following keystone passive skills are related to Luck:
Luck | Related modifiers | The following modifiers are related to Luck:
Mana | Description | Mana is a resource utilized by player characters. It is most commonly used to pay for cost of most skills. For the player it is shown as a blue orb in the lower right of the screen and will decrease when used. Players can recover mana by using flasks , gaining mana regeneration from passive skills and equipment, or leeching mana from enemies, among other mechanics. Mana is fully restored upon entering a town or hideout (except in Ruthless mode , which requires you to interact with certain NPCs).
Mana | Description | Every class starts with 40 mana and has the following stats:
Mana | Mechanics | Every two points of Intelligence grants +1 mana. [1]
Mana | Mechanics | Blood Magic sets your maximum mana to 0. The when on Low Mana and when on Full Mana modifiers are not triggered with 0/0 mana. [2]
Mana | Calculation | Total maximum mana can be calculated with the following formula:
Mana | Calculation | Mana total = ( 34 + Level Character × Mana per level + Intelligence 2 + ∑ i = 1 a added Mana ) × ( 1 + ∑ j = 1 b increased Mana j − ∑ k = 1 c reduced Mana k ) × ∏ l = 1 d ( 1 + more Mana l ) × ∏ m = 1 e ( 1 − less Mana m ) \color [rgb]{0.6392156862745098,0.5529411764705883,0.42745098039215684}{\begin{aligned}{\text{Mana}}_{\text{total}}=&\left(34+{\text{Level}}_{\text{Character}}\times {\text{Mana per level}}+{\frac {\text{Intelligence}}{2}}+\sum _{i=1}^{a}{\text{added Mana}}\right)\times \\&\left(1+\sum _{j=1}^{b}{\text{increased Mana}}_{j}-\sum _{k=1}^{c}{\text{reduced Mana}}_{k}\right)\times \\&\prod _{l=1}^{d}(1+{\text{more Mana}}_{l})\times \prod _{m=1}^{e}(1-{\text{less Mana}}_{m})\end{aligned}}
Mana | Calculation | Flat mana bonuses are added directly to the base mana ( +X to maximum Mana ). Percent-based modifiers apply to flat mana bonuses, as well as base mana and mana from Intelligence ( +X% increased maximum Mana ). See modifiers.
Mana | Mana Scaling | Intelligence grants +1 Mana per 2 Intelligence.
Mana | Mana Scaling | Certain unique items grant special additional scaling for Mana based on other statistics:
Mana | Mechanics Scaled by Mana | Certain unique items , skills , and ascendancies scale based on maximum Mana.
Mana | Using Mana | Mana can be used in the following ways:
Mana | Using Mana | Notably, Mana lost to damage is not considered spent. [3] This includes Mind Over Matter , Divine Guidance , The Aylardex , and Corruptions allowing for a portion of damage taken to be applied to Mana instead of Life.
Mana | Restoring Mana | Upon spending, unreserving, or deferring incoming damage to, Mana may be restored in the following ways:
Mana | Full Mana | Being on Full Mana can unlock bonuses granted by certain unique items:
Mana | Low Mana | A character is on Low Mana when the current percentage of maximum Mana is less than or equal to 50%.
Mana | Low Mana | Certain unique items grant special effects based on being on Low Mana or not:
Mana | Modifiers | There are several Crafting Bench modifier that can craft mana on gear.
Mana | Modifiers | In addition, +X to maximum Mana can be guaranteed on Body Armour , Helmets , Gloves , and Boots through the use of Essence of Misery with a range of +55 to 77.
Mana | Passive skills | There are passive skills that grant mana bonuses.
Mana | Increased maximum mana | These passive skills grant increased maximum mana.
Mana | Cluster Jewel passive skills | The following Cluster Jewel passives are related to Mana:
Mana | Masteries | The following Masteries are related to Mana:
Mana before Life | Description | Mana before Life is a game mechanic that allows mana to be used to take damage, increasing effective health.
Mana before Life | Mechanics | When taking damage , a percentage of damage that would be dealt to the defender's life is deducted from mana instead. If the character has insufficient current mana to fully take the damage to mana, then the remainder of the damage will be taken to life instead. This effect occurs after almost all other forms of avoidance and mitigation.
Mana before Life | Mechanics | Damage taken to energy shield has no interaction with this stat [1]. However, with Eldritch Battery , the damage taken from mana before life will be taken from energy shield first instead. Chaos damage will still bypass energy shield this way.
Mana before Life | Mechanics | Although taking mana before life does increase effective health, it does not cause mana to affect the player's thresholds for ailments or stun. [2]
Mana before Life | Mechanics | Having sufficient mana recovery is required to prevent rapid hits or damage over time from continually draining mana, preventing skill usage.
Mana before Life | Mechanics | This effect is capped at 100%. Having more than 100% of damage taken from Mana before Life will not cause you to lose more Mana than you were to take to Life.
Mana before Life | Mana/Life ratio | For mana to not run out before life , the unreserved mana should be at least 67% of unreserved life, granted that 40% of damage is taken from mana before life. Other ratios can be found using the following formula. Note that this only applies to a single hit and does not take into account other forms of recovery or damage prevention.
Mana before Life | Related legacy modifiers | These modifiers can only be obtained in permanent leagues as a legacy modifier.
Mana before Life | Unique items | The legacy unique That Which Was Taken can also roll with a modifier that grants 3% of Damage is taken from Mana before Life.
Map Device | Infobox | Hideout Item. Creates an object in your hideout. 2 Variations
Map Device | Description | The Map Device is a world object that allows the player to access certain areas by placing items such as maps , map fragments , or other map-related items inside it. The Map Device starts with four slots, and up to two additional slots can be unlocked.
Map Device | Accessing the Map Device | The first interactable Map Device the player encounters is located in The Chamber of Sins Level 1 in Act 7 to use Maligaro's Map quest item to enter Maligaro's Sanctum. This Map Device cannot activate any other map.
Map Device | Accessing the Map Device | In the Epilogue , players will gain access to a fully functional map device in the Karui Shores. After completing the mission A Call to Arms , the player will also receive a personal Map Device decoration which can be placed in your hideout and used instead. This personal Map Device can then be used by any character that has completed Act 10.
Map Device | Mechanics | In order to activate the device, maps , one or more map fragments , and/or miscellaneous map items need to be placed inside the Map Receptacle. Generally, only one item is required, but for certain map fragments the player may be required to arrange the fragments in a certain order (typically as keys to an endgame boss).
Map Device | Mechanics | It is also possible to place other map-related items alongside a map for bonuses:
Map Device | Mechanics | The map device interface also allows players to view and use their accumulated Kirac master missions. It also comes with a collapsible 4x5 mini-inventory or "rucksack" that can store maps, map fragments, and currency items. This inventory is shared with the map device interface for Kirac ( Maven's Invitations ) and Eagon ( memory threads ) to allow for quick crafting.
Map Device | Mechanics | By default, the map device has 4 items slots usable to open and modify areas. Two additional slots can be unlocked for a total of 6 slots. To unlock the additional slots, the player must do the following, in any order:
Map Device | Mechanics | The map device can also add one of several different map crafting options to map areas, including a boost to item quantity up to 8% as you complete maps (the default), guaranteed previous challenge league encounters for the price of a couple Chaos Orb s (also known as Kirac mods, unlocked as your complete maps), or rarely other mechanics such as Monstrous Treasure through the use of certain Atlas passive skills.
Map Device | Mechanics | The player will also unlock various upgrades to the map device as they progress through the endgame, such as enabling Maven , Exarch , or Eater beacons that permit Maven-witnessing a map boss or adding Exarch or Eater influence to your maps, or unlocking additional Atlas Passive Skill Tree presets to quickly switch between up to 3 different Atlas tree layouts.
Map Device | Mechanics | Six portals to a map or endgame area are opened when the Map Device is activated. A portal is consumed each time you enter the area, and the number of portal uses are shared within a party.
Map Device | List of map crafting options | Various map crafting options are unlocked as the player increases their Atlas map bonus completion. These map crafts, like the Atlas passive tree , applies only to your non-unique maps. The first use of each craft (except Fortune Favours the Brave) is free, and additional free uses may be obtained via the Atlas notable Shaping the Mountains.
Map Device | List of map crafting options | The standard map crafting options grant increased item quantity or add a specific league mechanic to the map. The item quantity and available crafting options increase with Atlas completion. Scarabs found in maps with these crafts also have a 50% increased chance to be for that league content.
Map Device | List of map crafting options | Certain map crafting options for mechanics that are limited to 1 in a map (e.g. Expedition) cause an error [1] if attempting to add another source of the encounter (like an Expedition Scarab ), whereas other options like Breach will apply the craft and consume Breach Scarabs.
Map Device | List of map crafting options | Fortune Favours the Brave selects a random map crafting option. Unlike choosing a specific option, Fortune Favours the Brave cannot block an outcome from happening; for example, it is possible to open a map with an Expedition Scarab and randomly roll Expedition, wasting the use of Fortune Favours the Brave. [2]
Map Device | List of map crafting options | The price of each map crafting option correlates with the required Atlas Completion for each craft to unlock:
Map Device | List of map crafting options | Special map crafting options can be obtained via Shaping the Skies or from It That Fled in a Research safehouse :
Map Device | List of map crafting options | These map crafting options can be obtained by placing a Scarab of Bisection into your map device.
Map Device | List of map crafting options | These map crafting options can be obtained by placing a Horned Scarab of Awakening into your map device.
Map Device | Other map-like items | These items can be used on a Map Device to open an instance to an area. They are classified as Map Fragments by item class.
Map Device | Other map-like items | These fragments require a complete set to open portals to a boss:
Map Device | Other map-like items | Five copies of these fragment can be used to open portals to a zone containing an Uber Pinnacle Boss, provided you have already defeated the regular version of the boss:
Map Device | Other map-like items | These items can be used on a Map Device to open an instance to an area. They are classified as Misc Map Items by item class.
Map Device | Other map-like items | Expedition Logbook s cannot be opened using the map device, and instead must be opened through Dannig.
Map Device | Lore | Players encountered two Map Devices in throughout the Act 1 to 10. The Ancient Reverie Device in The Chamber of Sins Level 1 , which was repaired before Act 7 and allowed the player character to use Maligaro's Map during Act 7. The device cannot be used again afterwards [3]. The player also encountered another nonfunctional map device in the Eternal Laboratory subarea of The Solaris Temple Level 2. That map device (known as the Reverie Device) was made by Malachai , and is canonically a copy of the device in the Chamber of Sins. The Reverie Device was previously functional until version 3.0 in the Merciless difficulty of The Solaris Temple Level 2.
Map Device | Lore | A third device was located in The Templar Laboratory which was made by Valdo Caeserius , though this area is no longer accessible due to the change of endgame timelines. This map device exploded during the epilogue of the Conquerors of the Atlas expansion. The map device in The Templar Laboratory was functional from version 3.0 until 3.9. This map device is also used in Path of Exile Mobile , 20 years before the first game. A fourth device exists inside of The Shaper's Realm.
Map Device | Lore | In previous expansions Conquerors of the Atlas and Echoes of the Atlas (version 3.9 to 3.16), player restored a fifth map device from spare parts in the Vault of Venarius as part of the Picking Up the Pieces quest; it is implied that these were remnants of the map device Venarius used to encounter the Elder. In the same patches, a sixth device can be seen during Sirus boss fight, which is located on the Cathedral Rooftop (in the Atlas of Worlds, not the The Cathedral Rooftop in Oriath ). This map device connects to the one in the Templar Laboratory (now restored), allowing the player to chase down Sirus. The Sirus encounter is not part of the current storyline, and the boss encounter is considered an interactable "memory" that generated by the power of the Atlas.
Map Device | Lore | In the current expansion, Siege of the Atlas , Commander Kirac explains that the Citizen Vanguard has secured at least 3 functional map devices set up in the bunker at the Karui Shores. More decorations similar to the personal Map Device can be seen in the Kirac's Vault subarea of the Karui Shores. Portals from the map device in either Karui Shores or hideout are shared, preventing the ability to open two different map instances at once. It is unknown if the map devices in the Karui Shores are new map devices, or recovered from Wraeclast and Oriath.
Map Device | Lore | When opening a map that contains a Smuggler's Cache as part of Kirac's master mission, he claims that the "criminals" may possess their own map device.
Map Device | Lore | During Synthesis league , the Memory Nexus and boss memory fragments also contained a decoration that resembled a map device (now purchasable as the Synthesis Map Device MTX ). However, due to Synthesis not going core, it is unclear whether these are real map devices or if they still currently exist.
Map Device | Lore | In Settlers league , the player is able to construct Kalguuran Map Devices and hire Atlas Runners to run their maps. They are constructed by Isla , using her experience on map devices she gained 20 years ago , and modified with Kalguuran runes.
Memory thread | Description | Threads of Consciousness , also known as memory threads or simply "threads", are a strange thread-like substance found near tears in reality caused by distorted memories called "memory tears". Eagon Caeserius is able to link to these memory threads to open portals to dreamscapes of Zana 's memories, introduced in the quest Threads of the Originator.
Memory thread | Description | Tears are marked on the map with an icon:
Memory thread | Mechanics | Players can find a bundle of iridescent threads near a memory tear in the first tier 14+ map opened. Interacting with it allows Eagon to extract the location of a Memory Thread in the Atlas of Worlds , creating a gauntlet of typically 3 adjacent maps on the Atlas (starting on the map you found the Memory Thread in) plus an exclusive Tier 16 memory guardian map not normally found on the Atlas ( Courtyard of Wasting Map , Chambers of Impurity Map , Theatre of Lies Map ), containing a memory guardian. Players can interact with Eagon in their hideout to craft these maps; they are also affected by your Atlas tree , scarabs , and other map fragments , and map crafting options from your map device. Eldritch Beacons cannot be activated on these maps during the initial quest. The areas will be opened in sequence each time you interact with Eagon in your hideout if you successfully complete the previous map.
Memory thread | Mechanics | All of the maps in a Memory Thread are considered memory influenced maps. Their random modifiers roll from regular map modifiers as well as Tier 17 map modifiers. Within these maps, monsters may be imbued with Memory Petals, granting them enhancements. Defeating these enemies grants Memory Petals to you which can be spent to activate between one to two random Memory Petal Skills. A third Skill can be granted in areas affected by the Memory Altar modifier +(20-40)% chance for Area to contain an additional Memory Petal Skill. The petals for each ability have individual counters. Petals can also be obtained from moving near clusters of petals scattered around the map.
Memory thread | Mechanics | Additionally, equipment found in these maps may sometimes have Memory Strands that enhance crafting outcomes.
Memory thread | Mechanics | Defeating each map boss in the Thread spawns a Memory Altar, providing two different modifier choices. The picked modifier will be applied to the remaining maps in the Thread, stacking up as you get further in. These effects can range from affecting Memory Petal acquisition, Memory Strands found on items, various map mechanics or map crafting options , or other miscellaneous bonuses.
Memory thread | Post-quest | After completing the Threads of the Originator quest and defeating all three Incarnation pinnacle bosses for the first time, the mechanics of Memory Threads change slightly:
Memory thread | Cursed | If a player fails to complete a memory thread map (either by using up all portals or letting the instance expire, or by manually opening the map again before it is completed), the map can be attempted again; however, it will remove all currently acquired Memory Altar modifiers from this map and subsequent maps, and adds the unremovable enchantment Area is Cursed. This modifier significantly penalizes item drops (IIQ) and player experience , and restricts certain content from appearing. It also significantly reduces the number of memory petals obtained and prevents Exarch or Eater influence monsters and altars from appearing. However, it can be useful as an infinite source of maps to rush for specific rewards not impacted by the drop penalty, such as graftblood from Breach encounters.
Memory thread | Cursed | It is unrelated to curses.
Metamod | Description | A meta-crafting modifier , commonly referred to as a metamod , is an item modifier that changes the way in which various crafting methods apply to an item.
Metamod | Overview | There are five metamods that can be applied to items:
Metamod | Overview | The following legacy metamod is only available on existing items in permanent leagues.
Metamod | Overview | These modifiers can be unlocked as crafts from specific end-game unique maps. See Crafting Bench § Crafting modifiers for details. All of the above metamods except multimod can also be added via Beastcrafting using a Wild Bristle Matron.
Metamod | Overview | Metamods do not grant stats or bonuses, but rather affect other mods, and may override regular crafting rules. [1] For example, Prefixes Cannot Be Changed will prevent an Orb of Annulment from removing a desirable prefix modifier. It will not, however, prevent adding a new modifier, such as through an Exalted Orb or Chaos Orb , as it only applies to existing modifiers. Note that some currencies and crafting methods cannot be used on items with metamods, such as essences [2] , or ignore metamods, such as Awakener's Orb s.
Metamod | Rules and Exceptions | Some of the currencies and crafting options available will ignore different metamods. Likewise, currencies such as Orb of Alchemy must be used on a normal item, which invariably may not have a crafted modifier on them. The tables below show which options will respect or ignore metamods.
Mirage | Description | Mirages are a league mechanic introduced in Mirage league. Throughout Wraeclast, players can encounter a gateway to the Astral Realm, containing a mirage of a limited part of the current area holding a tortured captive Djinn that must be released.
Mirage | Mechanics | Areas can contain a single Mirage. Entering it will take the player to an imperfect copy of the surrounding area around the Mirage called a "Mirage Area"; this area is not determined by distance but rather the total walkable terrain, adjusting around walls or obstacles. [1]
Mirage | Mechanics | Mirage Areas are part of the same instance as the original area and are affected by all area modifiers. Mirages will duplicate most league mechanics that spawned in the original area, though not perfectly, which can result in changes to certain mechanics or rewards, described further below. In areas that contain Mirages, league mechanic content that can be copied by the mirage will generally tend to spawn close to the mirage if possible.
Mirage | Mechanics | Mirage Areas also contains several Afarud monster packs that can drop Djinn coin currencies or Afarud uniques.
Mirage | Mechanics | Additionally, before entering, Varashta can augment the Mirage, granting a choice between one of three Wishes that can modify the mirage's rewards or monsters or grant powerful buffs. Each Wish is associated with one of three Djinn (Ruzhan, Navira, and Kelari), which will determine which type of Djinn coin can drop in the area.
Mirage | Wishes | Wish for Glyph can be combined with Perandus Signet to have up to a 9% chance to drop an extra Scroll of Wisdom on kill with The Unseen Hand.
Mirage (proxy) | Description | A mirage is an invulnerable, untargetable clone of the player (or a monster) that uses specific skills. It is a type of proxy , and scales with the player's offensive stats, but does not attribute hits or kills to the player. Mirages may persist for a duration, or disappear as soon as their animation are completed.
Mirage (proxy) | Description | Mirages cannot be targeted and cannot apply Taunt.
Modifier | Description | Modifiers generally change various aspects of the entity they are affecting. Most commonly modifiers apply stats , however they can also apply buffs or grant skills and can often be found on items , monsters , strongboxes or areas.
Modifier | Description | A modifier should be seen as an instance of change applied to an entity. A basic modifier does nothing on its own, it is given the effect by the associated stats (and their values), buffs and skills.
Modifier | Mechanics overview | A modifier applies statistics , a buff or grants a skill to an entity. Modifiers are specific to items , monsters , strongboxes or areas.
Modifier | Mechanics overview | Since not all statistics have a visible text, it is possible that some effects are granted by the modifier but are not visible to the player. On the wiki, some of these effects have a custom text specific to the wiki and are noted with (HIDDEN) in the description. In particular area and monster effects may be hidden from the player.
Modifier | Mechanics overview | Modifiers can either be innately applied (as "implicit" modifier) to entities, be granted under specific conditions or randomly generated.
Modifier | Mechanics overview | Some specific circumstances like the rarity of a monster, being touched or possessed by a Tormented Spirit , etc can also apply modifiers innately without them being randomly generated.
Modifier | Mechanics overview | Modifier generation is gated by specific conditions that govern if and how likely a modifier is going to appear:
Modifier | Mechanics overview | The values of stats include a minimum and maximum value, which is most commonly used on items - the actual value of the stat in the cases where minimum and maximum are not the same will be randomized within with equal chances, so for example a Stat with a minimum value of 1 and a maximum value of 3, can either be 1, 2 or 3 at 1/3 chance for each value.
Modifier | Mechanics overview | If a buff is specified, Modifiers also include a value for the buff, but unlike for Stats it is not randomized and fixed.
Modifier | Mechanics overview | If a skill is specified, the specified skill (at the specified level) will be granted to the relevant entity. The modifier does not include values for the skill other then the level as they're defined by the skill itself. Often this is found on items, where they grant skills, such as The Whispering Ice unique item.
Modifier | Local and global | Modifiers can be categorized as "local" or "global" modifiers.
Modifier | Local | The concept of "local" modifiers has broadened since its original technical definition [2]. This can be seen by the use of (local) in the trade site for modifiers that failed to meet the original criteria of just base stat modifications, like #% chance to Poison on Hit.
Modifier | Local | Currently, local modifiers can be identified by fulfilling any of the following requirements:
Modifier | Local | Item Properties : Item properties encompass all default properties of an item, including its base stats, attribute and level requirements, and sockets and links. Base stats can be found at the top of the item's tooltip. For example, #% increased Attack Speed and Adds # to # Physical Damage on a weapon will modify the "Attacks per Second" and "Physical Damage" stat on the weapon itself. Certain stats may not be immediately obvious, as most base items have that stat's default value at 0. For example, Adds # to # Fire Damage on a Solarine Bow directly adds to the weapon's base damage, of which Fire Damage is usually 0 for weapons. Default base stats are displayed in white , while modified base stats are displayed in blue (with the exception of fire / cold / lightning / chaos damage on weapons, which are colour-coded based on their damage type and have a base stat of 0).
Modifier | Local | Hand-specific : Modifiers that include " with this Weapon " or " Main/Off Hand " should be considered local, despite being conditional, as they only apply to attacks using that specific hand/weapon. These types of modifiers are technically global modifiers that apply locally to one or both hand(s), and therefore cannot be scaled by other local increases [3].
Modifier | Local | Weapon Hit Effect : Stats on weapons that apply on an attack hit with a generic (modifier-less) weapon (e.g. #% Chance to Poison on Hit , #% Chance to Maim , #% of Physical Attack Damage Leeched as Life ) are considered local. Flat modifiers to accuracy or chance to hit on weapons are also considered local, as chance to hit is hand-specific and determined on hit. While Poison and Bleeding chance are local, Ignite chance is always global, as generic weapons do not have base fire damage and therefore cannot ignite.
Modifier | Global | Global modifiers encompass all other modifiers that are not local. All conditional stats are global except for the main/off-hand stats listed above [4]. Global stats never modify an item's base stats and instead apply to the character's stats, and therefore cannot interact directly with other local modifiers. For example, the damage from Adds # to # Physical Damage on a weapon is scaled by #% increased Physical Damage and quality on a weapon, but Adds # to # Physical Damage to Attacks from the ring is not (as rings do not have base damage) and added separately in addition to the weapon's base damage before calculating any other global increased/more modifiers. Modifiers that state "Global" are always global.
Modifier | Global | In general, conditional modifiers should always be considered global.
Modifier | Global | Hybrid modifiers (modifiers with more than one line per stat) treat each line independently. A hybrid modifier can have both local and global parts, such as of Tacati - 30% chance to Poison on Hit , (26-30)% increased Chaos Damage (Suffix).
Modifier | Terminology | In general modifiers are referred to as such, however there are many special cases of modifiers that correspond to specific sets and Modifiers#Conditions :
Modifier | Implicit modifiers | Implicit modifiers always spawn on entities before the addition or change of additional modifiers (for example by changing the rarity ).
Modifier | Implicit modifiers | On monsters , implicit modifiers can be very commonly found. For example, some monsters are granted damage conversion which converts their inherent damage to that of another element. However, on unique monsters and bosses implicits are most notable - for example most bosses are granted a boost to their item rarity and item quantity as well as other bonuses such as on Atziri.
Modifier | Implicit modifiers | On items , visible implicit modifiers are most commonly found on:
Modifier | Implicit modifiers | Shields and body armour also commonly have a hidden movement speed penalty modifier.
Modifier | Implicit modifiers | Unlike the implicit modifiers on monsters, the implicit modifiers on equipment can be by altered in various ways:
Modifier | Implicit modifiers | Certain unique items also have special interactions with implicits:
Modifier | Enchantments | Enchantments are additional modifiers that can be added to items through specific means. Enchantments have their own mod slot on items and do not use the implicit mod slot. [5] Most items can have up to one enchantment at a time. Any level of rarity , even unique items , can be enchanted. Mirrored cannot receive an enchantment. [6] They are always fixed values, so Blessed Orbs have no effect on them. [7] Applying an enchantment on an already enchanted item replaces the old enchantment with the new one. Enchantments can be removed from a non-corrupted item using the Crafting Bench recipe; this cannot be done with maps and jewels. Corruption does not remove the enchantments of an item.
Modifier | Scourge mods | If an item becomes Scourged using the Blood Crucible , it gains two Scourge modifiers, one positive and one negative. Scourge mods are separate from implicit mods and enchantments. Blood Crucible upgrades can cause an item to gain additional Scourge mods. This mechanic has not been added to the core game and can only be found on legacy items in permanent leagues.
Modifier | Explicit modifiers | Explicit modifiers are generally dynamically generated by changing the rarity of the entity or by other modification.
Modifier | Explicit modifiers | The number of affixes given by rarity depends on the rarity class:
